순위,국가,종목코드,종목명,매수결제,매도결제,순매수결제
1,미국,US5951121038,MICRON TECHNOLOGY INC,44060511,13903519,30156992
2,미국,US25460G2865,DIREXION DAILY TSLA BULL 2X SHARES,45323354,15369582,29953772
3,미국,US88160R1014,TESLA INC,71492119,41980340,29511778
4,미국,US02079K3059,ALPHABET INC CL A,42327673,13464514,28863159
5,미국,US78463V1070,SPDR GOLD SHARES ETF,24291902,2611786,21680117
6,미국,US46428Q1094,ISHARES SILVER TRUST ETF,38520454,18249931,20270523
7,미국,US5949181045,MICROSOFT CORP,25882301,7710841,18171460
8,미국,US25461A4452,DIREXION DAILY PLTR BULL 2X SHARES,16965457,1679463,15285994
9,미국,US0231351067,AMAZON.COM INC,20692006,5940390,14751615
10,미국,US21873S1087,CoreWeave Inc,18111158,4759191,13351967
11,미국,US75776W1036,REDWIRE CORP EXOF 008516579 KYG382451170,16288299,2997227,13291072
12,미국,US0937121079,BLOOM ENERGY CORP CL A,16135131,2977971,13157160
13,미국,US44812J1043,HUT 8 CORP,12704473,83044,12621429
14,미국,US65290E1010,NEXTRACKER INC,12673687,185141,12488546
15,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,14215341,2912012,11303329
16,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,13793460,3251561,10541898
17,미국,US25461A5285,DXN MU BUL2X ETF,13557227,3425355,10131871
18,미국,US22266T1097,COUPANG INC,10965450,924263,10041186
19,미국,CA13321L1085,CAMECO CORP,9987430,503344,9484087
20,미국,US91324P1021,UNITEDHEALTH GROUP INC,17469851,7986543,9483309
21,미국,KYG651631007,JOBY AVIATION INC EXOF 008448244 KYG7483N1117,11960455,2626649,9333806
22,미국,US46138G6492,INVESCO NASDAQ 100 ETF,10813056,2545479,8267578
23,미국,US4642852044,ISHARES GOLD TRUST SPLR 007985653 US4642851053,9288768,1023822,8264946
24,미국,US98149E3036,SPDR GOLD MINISHARES TRUST ETF SPLR 008981461 US98149E2046,8666446,617300,8049146
25,미국,US25461A3876,DIREXION SHARES ETF TRUST DAILY MSCI SOUTH KOREA BULL SPLR 970211833 US25459Y5208,9105241,1666226,7439014
26,미국,US0320951017,AMPHENOL CORP CL A,7532776,466311,7066466
27,미국,US25460G1123,DIREXION SEMICONDUCTOR BEAR 3X ETF,14590736,7606194,6984542
28,미국,USN070592100,ASML HOLDING NV ADR,9117288,2509038,6608251
29,미국,US80004C2008,SNDSK CRP ORD WI,12893978,6616688,6277290
30,미국,US92189F6768,VANECK SEMICONDUCTOR ETF CHAN 39610601171 US57060U2336,9696902,3587664,6109238
31,미국,US55024U1097,LUMENTUM HOLDINGS INC SOFF 39520207144 US46612J5074,7147394,1122878,6024516
32,미국,US2988922090,EVA LIVE INC,5888446,4960,5883486
33,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,6679455,1498494,5180961
34,미국,US92189H3003,VANECK JP MORGAN EM LOCAL CURRENCY BOND ETF,5060175,48949,5011226
35,미국,US83422N1054,SOLID POWER INC,5635472,686950,4948522
36,미국,US0378331005,APPLE INC,8597412,3806113,4791300
37,미국,US38747R7109,GNTSH 2XPLTR ETF,5708877,960266,4748611
38,미국,US9581021055,WESTERN DIGITAL CORP,5728856,1043098,4685758
39,미국,US68236H2040,ONDAS HOLDINGS INC,5179255,758855,4420401
40,미국,US18915M1071,CLOUDFLARE INC,6083888,1674365,4409523
41,미국,US02156V1098,ALTC ACQUISITION CORP,7898786,3576370,4322416
42,미국,US46654Q2030,J.P. MORGAN NASDAQ EQUITY PREMIUM INCOME ETF,5079994,917884,4162110
43,미국,US1049322076,BRAND ENGAGEMENT NETWORK IN COM USD0.0001(PST RV SPT) SPLR 987177411 US1049321086,5193275,1145022,4048253
44,미국,US8807701029,TERADYNE INC,4172632,257800,3914832
45,미국,US1442851036,CARPENTER TECHNOLOGY CORP,3956003,58982,3897021
46,미국,US00217D1000,AST SPACEMOBILE INC CL A EXOF 008072919 US64822P2056,6937045,3061689,3875356
47,미국,US88023B1035,Tempus AI Inc,6033479,2170315,3863164
48,미국,US5949724083,MICROSTRATEGY INC CL A,4395028,666498,3728529
49,미국,US25461A8669,DIREXION DAILY MSFT BULL 1 5X ETF,5206365,1513074,3693291
50,미국,US38747R8016,GRNTSHR 2X ETF,3785908,228595,3557313
